"file","questionId","teil","oldTopicTags","newTopicTags","oldType","newType","oldDifficulty","newDifficulty","topicSource"
"batches/generated/sprechen-gemini-001.json","gen-q-sp-t1-21ad5163-q1","1","[""Kultur""]","[""Kultur""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/generated/sprechen-gemini-001.json","gen-q-sp-t2-21ad5163-q1","2","[""Kultur""]","[""Kultur""]","praesentation","praesentation","5","5","keep_b1"
"batches/generated/sprechen-gemini-001.json","gen-q-sp-t3-21ad5163-q1","3","[""Kultur""]","[""Kultur""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/generated/sprechen-gemini-002.json","gen-q-sp-t1-ace1cb8c-q1","1","[""Freizeit""]","[""Sport""]","planungsaufgabe","planungsaufgabe","5","5","detect_t2"
"batches/generated/sprechen-gemini-002.json","gen-q-sp-t2-ace1cb8c-q1","2","[""Freizeit""]","[""Sport""]","praesentation","praesentation","5","5","detect_t2"
"batches/generated/sprechen-gemini-002.json","gen-q-sp-t3-ace1cb8c-q1","3","[""Freizeit""]","[""Sport""]","feedback_diskussion","feedback_diskussion","5","5","detect_t2"
"batches/generated/sprechen-gemini-003.json","gen-q-sp-t1-0285e74e-q1","1","[""Stadtleben""]","[""Stadtleben""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/generated/sprechen-gemini-003.json","gen-q-sp-t2-0285e74e-q1","2","[""Stadtleben""]","[""Stadtleben""]","praesentation","praesentation","5","5","keep_b1"
"batches/generated/sprechen-gemini-003.json","gen-q-sp-t3-0285e74e-q1","3","[""Stadtleben""]","[""Stadtleben""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/generated/sprechen-gemini-004.json","gen-q-sp-t1-9fd2a6f9-q1","1","[""Umwelt""]","[""Umwelt""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/generated/sprechen-gemini-004.json","gen-q-sp-t2-9fd2a6f9-q1","2","[""Umwelt""]","[""Umwelt""]","praesentation","praesentation","5","5","keep_b1"
"batches/generated/sprechen-gemini-004.json","gen-q-sp-t3-9fd2a6f9-q1","3","[""Umwelt""]","[""Umwelt""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/generated/sprechen-gemini-005.json","gen-q-sp-t1-6505ed19-q1","1","[""Medien""]","[""Medien""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/generated/sprechen-gemini-005.json","gen-q-sp-t2-6505ed19-q1","2","[""Medien""]","[""Medien""]","praesentation","praesentation","5","5","keep_b1"
"batches/generated/sprechen-gemini-005.json","gen-q-sp-t3-6505ed19-q1","3","[""Medien""]","[""Medien""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/generated/sprechen-gemini-006.json","gen-q-sp-t1-02a9a54d-q1","1","[""Konsum""]","[""Konsum""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/generated/sprechen-gemini-006.json","gen-q-sp-t2-02a9a54d-q1","2","[""Konsum""]","[""Konsum""]","praesentation","praesentation","5","5","keep_b1"
"batches/generated/sprechen-gemini-006.json","gen-q-sp-t3-02a9a54d-q1","3","[""Konsum""]","[""Konsum""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/generated/sprechen-gemini-007.json","gen-q-sp-t1-b121cb3f-q1","1","[""Arbeit""]","[""Arbeit""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/generated/sprechen-gemini-007.json","gen-q-sp-t2-b121cb3f-q1","2","[""Arbeit""]","[""Arbeit""]","praesentation","praesentation","5","5","keep_b1"
"batches/generated/sprechen-gemini-007.json","gen-q-sp-t3-b121cb3f-q1","3","[""Arbeit""]","[""Arbeit""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/generated/sprechen-gemini-008.json","gen-q-sp-t1-9a72-q1","1","[""Freizeit""]","[""Bildung""]","planungsaufgabe","planungsaufgabe","5","5","detect_t2"
"batches/generated/sprechen-gemini-008.json","gen-q-sp-t2-9a72-q1","2","[""Freizeit""]","[""Bildung""]","praesentation","praesentation","5","5","detect_t2"
"batches/generated/sprechen-gemini-008.json","gen-q-sp-t3-9a72-q1","3","[""Freizeit""]","[""Bildung""]","feedback_diskussion","feedback_diskussion","5","5","detect_t2"
"batches/merged/sprechen-ehrenamt-thema-02.json","de-b1-sp-t1-ehrenamt-thema-02-q1","1","[""Familie""]","[""Familie""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-ehrenamt-thema-02.json","de-b1-sp-t2-ehrenamt-thema-02-q1","2","[""Familie""]","[""Familie""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-ehrenamt-thema-02.json","de-b1-sp-t3-ehrenamt-thema-02-q1","3","[""Familie""]","[""Familie""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-ehrenamt-thema-03.json","de-b1-sp-t1-ehrenamt-thema-03-q1","1","[""Familie""]","[""Familie""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-ehrenamt-thema-03.json","de-b1-sp-t2-ehrenamt-thema-03-q1","2","[""Familie""]","[""Familie""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-ehrenamt-thema-03.json","de-b1-sp-t3-ehrenamt-thema-03-q1","3","[""Familie""]","[""Familie""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-feste-02.json","de-b1-sp-t1-ausflug-q1","1","[""Kultur""]","[""Kultur""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-feste-02.json","de-b1-sp-t2-feste-q1","2","[""Kultur""]","[""Kultur""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-feste-02.json","de-b1-sp-t3-feste-fb-q1","3","[""Kultur""]","[""Kultur""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-gesund-leben-02.json","de-b1-sp-t1-gesund-leben-02-q1","1","[""Ernährung""]","[""Ernährung""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-gesund-leben-02.json","de-b1-sp-t2-gesund-leben-02-q1","2","[""Ernährung""]","[""Ernährung""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-gesund-leben-02.json","de-b1-sp-t3-gesund-leben-02-q1","3","[""Ernährung""]","[""Ernährung""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-01.json","de-b1-sp-t1-abschiedsfeier-q1","1","[""Konsum""]","[""Konsum""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-01.json","de-b1-sp-t2-onlineshopping-q1","2","[""Konsum""]","[""Konsum""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-01.json","de-b1-sp-t3-onlineshopping-fb-q1","3","[""Konsum""]","[""Konsum""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-02.json","de-b1-sp-t1-onlineshopping-02-q1","1","[""Konsum""]","[""Konsum""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-02.json","de-b1-sp-t2-onlineshopping-02-q1","2","[""Konsum""]","[""Konsum""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-02.json","de-b1-sp-t3-onlineshopping-02-q1","3","[""Konsum""]","[""Konsum""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-03.json","de-b1-sp-t1-onlineshopping-03-q1","1","[""Konsum""]","[""Konsum""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-03.json","de-b1-sp-t2-onlineshopping-03-q1","2","[""Konsum""]","[""Konsum""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-03.json","de-b1-sp-t3-onlineshopping-03-q1","3","[""Konsum""]","[""Konsum""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-04.json","de-b1-sp-t1-onlineshopping-04-q1","1","[""Konsum""]","[""Konsum""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-04.json","de-b1-sp-t2-onlineshopping-04-q1","2","[""Konsum""]","[""Konsum""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-onlineshopping-04.json","de-b1-sp-t3-onlineshopping-04-q1","3","[""Konsum""]","[""Konsum""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-reise-vorbereitung-01.json","de-b1-sp-t1-reise-vorbereitung-01-q1","1","[""Reisen""]","[""Reisen""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-reise-vorbereitung-01.json","de-b1-sp-t2-reise-vorbereitung-01-q1","2","[""Reisen""]","[""Reisen""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-reise-vorbereitung-01.json","de-b1-sp-t3-reise-vorbereitung-01-q1","3","[""Reisen""]","[""Reisen""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-reise-vorbereitung-02.json","de-b1-sp-t1-reise-vorbereitung-02-q1","1","[""Verkehr""]","[""Verkehr""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
"batches/merged/sprechen-reise-vorbereitung-02.json","de-b1-sp-t2-reise-vorbereitung-02-q1","2","[""Verkehr""]","[""Verkehr""]","praesentation","praesentation","5","5","keep_b1"
"batches/merged/sprechen-reise-vorbereitung-02.json","de-b1-sp-t3-reise-vorbereitung-02-q1","3","[""Verkehr""]","[""Verkehr""]","feedback_diskussion","feedback_diskussion","5","5","keep_b1"
"batches/merged/sprechen-reise-vorbereitung-03.json","de-b1-sp-t1-reise-vorbereitung-03-q1","1","[""Reisen""]","[""Reisen""]","planungsaufgabe","planungsaufgabe","5","5","keep_b1"
